DATE,WILL5000PR
2020-04-15,27923.30
2020-04-16,28066.51
2020-04-17,28842.95
2020-04-20,28348.57
2020-04-21,27489.83
2020-04-22,28115.35
2020-04-23,28131.74
2020-04-24,28526.49
2020-04-27,29030.11
2020-04-28,28916.15
2020-04-29,29751.01
2020-04-30,29409.58
2020-05-01,28545.40
2020-05-04,28677.12
2020-05-05,28940.94
2020-05-06,28756.10
2020-05-07,29114.57
2020-05-08,29661.62
2020-05-11,29650.21
2020-05-12,29002.39
2020-05-13,28446.62
2020-05-14,28768.11
2020-05-15,28902.95
2020-05-18,29874.30
2020-05-19,29558.77
2020-05-20,30075.82
2020-05-21,29873.59
2020-05-22,29960.21
2020-05-25,.
2020-05-26,30368.35
2020-05-27,30853.31
2020-05-28,30730.89
2020-05-29,30873.67
2020-06-01,31036.60
2020-06-02,31291.30
2020-06-03,31758.53
2020-06-04,31651.81
2020-06-05,32482.27
2020-06-08,32935.77
2020-06-09,32644.42
2020-06-10,32420.35
2020-06-11,30478.00
2020-06-12,30902.50
2020-06-15,31214.12
2020-06-16,31806.11
2020-06-17,31658.22
2020-06-18,31686.93
2020-06-19,31513.00
2020-06-22,31720.66
2020-06-23,31847.33
2020-06-24,31003.77
2020-06-25,31357.59
2020-06-26,30596.01
2020-06-29,31068.82
2020-06-30,31551.73
2020-07-01,31690.76
2020-07-02,31831.85
2020-07-03,.
2020-07-06,32340.14
2020-07-07,31979.58
2020-07-08,32247.74
2020-07-09,32048.77
2020-07-10,32404.29
2020-07-13,32048.70
2020-07-14,32473.56
2020-07-15,32841.93
2020-07-16,32712.58
2020-07-17,32812.51
2020-07-20,33102.07
2020-07-21,33163.27
2020-07-22,33349.71
2020-07-23,32954.20
2020-07-24,32714.69
2020-07-27,32987.78
2020-07-28,32760.80
2020-07-29,33210.88
2020-07-30,33098.05
2020-07-31,33300.98
2020-08-03,33581.97
2020-08-04,33714.38
2020-08-05,33963.16
2020-08-06,34146.87
2020-08-07,34174.77
2020-08-10,34267.81
2020-08-11,33987.00
2020-08-12,34451.55
2020-08-13,34401.92
2020-08-14,34390.47
2020-08-17,34522.80
2020-08-18,34578.98
2020-08-19,34425.86
2020-08-20,34540.73
2020-08-21,34641.01
2020-08-24,34975.62
2020-08-25,35087.49
2020-08-26,35409.75
2020-08-27,35484.63
2020-08-28,35722.88
2020-08-31,35675.51
2020-09-01,35955.63
2020-09-02,36442.24
2020-09-03,35143.65
2020-09-04,34855.32
2020-09-07,.
2020-09-08,33851.58
2020-09-09,34534.37
2020-09-10,33962.07
2020-09-11,33953.00
2020-09-14,34479.18
2020-09-15,34664.16
2020-09-16,34536.31
2020-09-17,34233.66
2020-09-18,33886.67
2020-09-21,33475.62
2020-09-22,33807.74
2020-09-23,32969.41
2020-09-24,33069.80
2020-09-25,33629.28
2020-09-28,34195.73
2020-09-29,34030.59
2020-09-30,34294.49
2020-10-01,34551.30
2020-10-02,34255.35
2020-10-05,34895.37
2020-10-06,34445.60
2020-10-07,35051.04
2020-10-08,35339.22
2020-10-09,35641.17
2020-10-12,36189.85
2020-10-13,35983.16
2020-10-14,35748.18
2020-10-15,35722.82
2020-10-16,35693.28
2020-10-19,35135.84
2020-10-20,35282.12
2020-10-21,35172.26
2020-10-22,35398.79
2020-10-23,35530.95
2020-10-26,34877.31
2020-10-27,34761.79
2020-10-28,33567.25
2020-10-29,33963.86
2020-10-30,33505.10
2020-11-02,33921.37
2020-11-03,34572.64
2020-11-04,35304.27
2020-11-05,36015.19
2020-11-06,35985.35
2020-11-09,36396.93
2020-11-10,36376.99
2020-11-11,36663.31
2020-11-12,36295.44
2020-11-13,36794.21
2020-11-16,37255.21
2020-11-17,37142.94
2020-11-18,36753.93
2020-11-19,36940.85
2020-11-20,36726.24
2020-11-23,37000.02
2020-11-24,37585.77
2020-11-25,37563.31
2020-11-26,.
2020-11-27,37680.18
2020-11-30,37461.24
2020-12-01,37863.07
2020-12-02,37914.76
2020-12-03,37956.53
2020-12-04,38337.21
2020-12-07,38304.68
2020-12-08,38455.75
2020-12-09,38103.03
2020-12-10,38138.57
2020-12-11,38067.36
2020-12-14,37945.99
2020-12-15,38460.64
2020-12-16,38504.87
2020-12-17,38775.22
2020-12-18,38664.18
2020-12-21,38551.90
2020-12-22,38545.23
2020-12-23,38595.12
2020-12-24,38701.49
2020-12-25,.
2020-12-28,38946.25
2020-12-29,38804.67
2020-12-30,38894.34
2020-12-31,39081.44
2021-01-01,.
2021-01-04,38508.13
2021-01-05,38816.33
2021-01-06,39127.21
2021-01-07,39753.56
2021-01-08,39938.80
2021-01-11,39722.59
2021-01-12,39831.99
2021-01-13,39875.79
2021-01-14,39809.60
2021-01-15,39508.15
2021-01-18,.
2021-01-19,39840.70
2021-01-20,40364.69
2021-01-21,40349.28
2021-01-22,40296.00
2021-01-25,40418.16
2021-01-26,40308.46
2021-01-27,39280.70
2021-01-28,39652.19
2021-01-29,38915.27
2021-02-01,39583.97
2021-02-02,40152.99
2021-02-03,40206.19
2021-02-04,40674.67
2021-02-05,40875.95
2021-02-08,41248.24
2021-02-09,41236.00
2021-02-10,41218.82
2021-02-11,41289.59
2021-02-12,41489.06
2021-02-15,.
2021-02-16,41431.89
2021-02-17,41366.80
2021-02-18,41136.51
2021-02-19,41179.73
2021-02-22,40801.02
2021-02-23,40799.03
2021-02-24,41279.04
2021-02-25,40196.86
2021-02-26,40047.61
2021-03-01,41034.68
2021-03-02,40641.04
2021-03-03,40080.21
2021-03-04,39455.77
2021-03-05,40203.33
2021-03-08,39994.81
2021-03-09,40615.22
2021-03-10,40888.68
2021-03-11,41402.50
2021-03-12,41469.97
2021-03-15,41757.35
2021-03-16,41610.93
2021-03-17,41740.28
2021-03-18,41031.14
2021-03-19,41061.42
2021-03-22,41292.93
2021-03-23,40851.49
2021-03-24,40525.61
2021-03-25,40798.60
2021-03-26,41467.50
2021-03-29,41300.85
2021-03-30,41259.22
2021-03-31,41465.83
2021-04-01,41994.53
2021-04-02,.
2021-04-05,42535.21
2021-04-06,42518.13
2021-04-07,42514.11
2021-04-08,42734.19
2021-04-09,43027.09
2021-04-12,43018.03
2021-04-13,43169.00
2021-04-14,43029.50
2021-04-15,43498.12
2021-04-16,43637.29
2021-04-19,43365.96
2021-04-20,43005.62
2021-04-21,43459.48
2021-04-22,43103.31
2021-04-23,43618.22
2021-04-26,43764.24
2021-04-27,43759.12
2021-04-28,43734.33
2021-04-29,43950.85
2021-04-30,43619.56
2021-05-03,43714.52
2021-05-04,43366.68
2021-05-05,43346.21
2021-05-06,43620.27
2021-05-07,43973.48
2021-05-10,43435.09
2021-05-11,43104.89
2021-05-12,42118.50
2021-05-13,42604.38
2021-05-14,43310.90
2021-05-17,43211.42
2021-05-18,42879.80
2021-05-19,42735.59
2021-05-20,43198.31
2021-05-21,43178.40
2021-05-24,43595.02
2021-05-25,43473.91
2021-05-26,43640.79
2021-05-27,43725.45
2021-05-28,43758.97
2021-05-31,43758.97
2021-06-01,43789.56
2021-06-02,43848.99
2021-06-03,43650.26
2021-06-04,44026.94
2021-06-07,44075.84
2021-06-08,44148.20
2021-06-09,44041.86
2021-06-10,44214.64
2021-06-11,44346.94
2021-06-14,44398.32
2021-06-15,44281.14
2021-06-16,44069.14
2021-06-17,44031.43
2021-06-18,43462.88
2021-06-21,44075.13
2021-06-22,44300.44
2021-06-23,44280.71
2021-06-24,44566.80
2021-06-25,44718.89
2021-06-28,44784.85
2021-06-29,44772.88
2021-06-30,44807.08
2021-07-01,45034.40
